time_utc,symbol,side,price,qty,gross_usdt,fee_usdt,realized_pnl_usdt,score,reason
2026-08-20T10:35:25.863395+00:00,SUIUSDT,BUY,0.7298000000,5.4754727323,4.000000,0.004000,0.000000,3.852,trend+rsi+momentum
2026-08-20T10:35:25.863456+00:00,XRPUSDT,BUY,1.1590000000,3.4477998274,4.000000,0.004000,0.000000,3.821,trend+rsi+momentum
2026-08-20T11:37:11.838186+00:00,XRPUSDT,SELL,1.1821000000,3.4477998274,4.075644,0.004076,0.071569,3.821,TAKE_PROFIT
2026-08-20T11:37:29.745782+00:00,LTCUSDT,BUY,47.4200000000,0.0842682412,4.000000,0.004000,0.000000,4.488,trend+rsi+momentum+volume
2026-08-20T13:08:28.265091+00:00,SUIUSDT,SELL,0.7239000000,5.4754727323,3.963695,0.003964,-0.040269,3.852,STOP_LOSS
2026-08-20T13:08:38.046895+00:00,DOTUSDT,BUY,0.8290000000,4.8202653800,4.000000,0.004000,0.000000,3.900,trend+rsi+momentum
2026-08-20T16:48:26.646591+00:00,DOTUSDT,SELL,0.8420000000,4.8202653800,4.058663,0.004059,0.054605,3.900,TAKE_PROFIT
2026-08-20T16:48:27.549119+00:00,LTCUSDT,SELL,48.2800000000,0.0842682412,4.068471,0.004068,0.064402,4.488,TAKE_PROFIT
2026-08-20T16:48:36.830570+00:00,PEPEUSDT,BUY,0.0000032100,1244859.8130841120,4.000000,0.004000,0.000000,3.900,trend+rsi+momentum
2026-08-20T16:48:36.830661+00:00,SHIBUSDT,BUY,0.0000049600,805645.1612903225,4.000000,0.004000,0.000000,3.802,trend+rsi+momentum
2026-08-20T17:17:59.929250+00:00,PEPEUSDT,SELL,0.0000031900,1244859.8130841120,3.971103,0.003971,-0.032868,3.900,STOP_LOSS
2026-08-20T17:52:24.372276+00:00,LINKUSDT,BUY,10.8540000000,0.3681592040,4.000000,0.004000,0.000000,4.543,trend+rsi+momentum+volume
2026-08-20T18:36:38.048156+00:00,LINKUSDT,SELL,10.6620000000,0.3681592040,3.925313,0.003925,-0.078612,4.543,STOP_LOSS
2026-08-20T18:36:52.102784+00:00,SHIBUSDT,SELL,0.0000048800,805645.1612903225,3.931548,0.003932,-0.072383,3.802,STOP_LOSS
2026-08-20T20:27:12.758497+00:00,DOTUSDT,BUY,0.8380000000,4.7684964200,4.000000,0.004000,0.000000,4.262,trend+rsi+momentum+volume
2026-08-20T20:27:12.758586+00:00,ETCUSDT,BUY,6.8600000000,0.5825072886,4.000000,0.004000,0.000000,3.402,trend+rsi+momentum
2026-08-20T23:37:58.782188+00:00,ETCUSDT,SELL,6.9700000000,0.5825072886,4.060076,0.004060,0.056016,3.402,TAKE_PROFIT
2026-08-20T23:37:59.719178+00:00,FILUSDT,BUY,0.7364000000,5.4263986964,4.000000,0.004000,0.000000,4.420,trend+rsi+momentum+volume
2026-08-21T00:00:24.301694+00:00,DOTUSDT,SELL,0.8490000000,4.7684964200,4.048453,0.004048,0.044405,4.262,TAKE_PROFIT
2026-08-21T00:00:31.424464+00:00,DOTUSDT,BUY,0.8490000000,4.7067137809,4.000000,0.004000,0.000000,3.670,trend+rsi+momentum
2026-08-21T01:53:46.582359+00:00,FILUSDT,SELL,0.7535000000,5.4263986964,4.088791,0.004089,0.084703,4.420,TAKE_PROFIT
2026-08-21T01:53:48.183166+00:00,BCHUSDT,BUY,226.5000000000,0.0176423841,4.000000,0.004000,0.000000,4.816,trend+rsi+momentum+volume
2026-08-21T03:05:07.739807+00:00,DOTUSDT,SELL,0.8390000000,4.7067137809,3.948933,0.003949,-0.055016,3.670,STOP_LOSS
2026-08-21T03:59:57.332440+00:00,NEARUSDT,BUY,1.8050000000,2.2138504155,4.000000,0.004000,0.000000,3.849,trend+rsi+momentum
2026-08-21T06:00:53.432939+00:00,NEARUSDT,SELL,1.8370000000,2.2138504155,4.066843,0.004067,0.062776,3.849,TAKE_PROFIT
2026-08-21T06:00:55.231541+00:00,BCHUSDT,SELL,237.2000000000,0.0176423841,4.184774,0.004185,0.180589,4.816,TAKE_PROFIT
2026-08-21T06:01:00.672254+00:00,ARBUSDT,BUY,0.0922000000,43.3405639913,4.000000,0.004000,0.000000,4.725,trend+rsi+momentum+volume
2026-08-21T06:01:00.672347+00:00,SHIBUSDT,BUY,0.0000050500,791287.1287128713,4.000000,0.004000,0.000000,4.647,trend+rsi+momentum+volume
2026-08-21T07:03:54.293480+00:00,SHIBUSDT,SELL,0.0000051200,791287.1287128713,4.051390,0.004051,0.047339,4.647,TAKE_PROFIT
2026-08-21T07:03:54.373839+00:00,BTCUSDT,BUY,75822.0000000000,0.0000527024,4.000000,0.004000,0.000000,4.482,trend+rsi+momentum+volume
2026-08-21T07:54:50.021375+00:00,ARBUSDT,SELL,0.0938000000,43.3405639913,4.065345,0.004065,0.061280,4.725,TAKE_PROFIT
